5	4265832	sha1:882f28859abf96606df0cc2cfd6f2ac560ba8674	http://appldnld.apple.com/osxassets/058-55450-2016008023-8A4D782E-661F-11E6-B483-D75733D2D062/com_apple_MobileAsset_DictionaryServices_dictionaryOSX/f9384c21fc7d64ad09992ad8bebbbfac16ad6a9d.zip	Apple Dictionary.dictionary	Apple Dictionary
5	14846454	sha1:6d947178c4aa72934bcfd95acae78a4d0690d9f8	http://appldnld.apple.com/osxassets/058-55450-2016008023-8A4D782E-661F-11E6-B483-D75733D2D062/com_apple_MobileAsset_DictionaryServices_dictionaryOSX/23dec88eb7643db8264fdbafe5a58ca0c75df64e.zip	Danish.dictionary	Politikens Nudansk Ordbog
5	12511484	sha1:29c5e8c8a4e1b7aed3599b1615d916aab8c0b3af	http://appldnld.apple.com/osxassets/058-55450-2016008023-8A4D782E-661F-11E6-B483-D75733D2D062/com_apple_MobileAsset_DictionaryServices_dictionaryOSX/64e08f5fa0fd1432ea6afc75875f2e71723efb77.zip	Dutch - English.dictionary	Prisma Handwoordenboek Engels
5	11658306	sha1:2d31001b60ef519d59d5f7b52afa93f911a4aac4	http://appldnld.apple.com/osxassets/058-55450-2016008023-8A4D782E-661F-11E6-B483-D75733D2D062/com_apple_MobileAsset_DictionaryServices_dictionaryOSX/7443efbf68330e129b3fd1812950b2f59b360728.zip	Dutch.dictionary	Prisma woordenboek Nederlands
5	23002390	sha1:0bde2758bc2effa45823845b36a740aa4f1bb653	http://appldnld.apple.com/osxassets/058-55450-2016008023-8A4D782E-661F-11E6-B483-D75733D2D062/com_apple_MobileAsset_DictionaryServices_dictionaryOSX/7ac74485b4c032edcbe3dc3757e07b02805c8a25.zip	French - English.dictionary	Oxford-Hachette French Dictionary
5	9242902	sha1:f9825f62517ee5cc831f951342b1541bc71b0c16	http://appldnld.apple.com/osxassets/058-55450-2016008023-8A4D782E-661F-11E6-B483-D75733D2D062/com_apple_MobileAsset_DictionaryServices_dictionaryOSX/693e41dd3f2d1be2533620fba2254ce64fe915fb.zip	French.dictionary	Multidictionnaire de la langue française
5	31055683	sha1:46af8726a1204c991ba27b5a56b1be1651174a6d	http://appldnld.apple.com/osxassets/058-55450-2016008023-8A4D782E-661F-11E6-B483-D75733D2D062/com_apple_MobileAsset_DictionaryServices_dictionaryOSX/c0c375b30a08877126624ee6cd9740efcdf236ea.zip	German - English.dictionary	Oxford German Dictionary
5	45931411	sha1:b4eaf08169ff5fbe2811fe2a0dcf54d4972c89be	http://appldnld.apple.com/osxassets/058-55450-2016008023-8A4D782E-661F-11E6-B483-D75733D2D062/com_apple_MobileAsset_DictionaryServices_dictionaryOSX/7c6c49b4d8b4ed29caf7954942c0b129d9940161.zip	Duden Dictionary Data Set I.dictionary	Duden-Wissensnetz deutsche Sprache
5	5528839	sha1:c7fa926740f69e263a3d33792ae0cf2467299456	http://appldnld.apple.com/osxassets/058-55450-2016008023-8A4D782E-661F-11E6-B483-D75733D2D062/com_apple_MobileAsset_DictionaryServices_dictionaryOSX/de0bfd462ef8f8bed68766a5a2a156bc8345ea74.zip	Hindi.dictionary	राजपाल हिन्दी शब्दकोश
5	27744091	sha1:43f538159855a6535759c265ff49c9e3a68f3999	http://appldnld.apple.com/osxassets/058-55450-2016008023-8A4D782E-661F-11E6-B483-D75733D2D062/com_apple_MobileAsset_DictionaryServices_dictionaryOSX/55535d99aa41b0bfe33278151502d1ab77fbb660.zip	Italian - English.dictionary	Oxford Paravia Il Dizionario inglese - italiano/italiano - inglese
5	24849470	sha1:7d1ff68e24e34cb7e4c5a066dcaa723d7a47c21a	http://appldnld.apple.com/osxassets/058-55450-2016008023-8A4D782E-661F-11E6-B483-D75733D2D062/com_apple_MobileAsset_DictionaryServices_dictionaryOSX/cdadb3e7567cfe9bdce87a3f468358ce25d7deca.zip	Italian.dictionary	Dizionario italiano da un affiliato di Oxford University Press
5	29800639	sha1:41bb87663a4e0a5fa296262d5fd506a4bae32e1e	http://appldnld.apple.com/osxassets/058-55450-2016008023-8A4D782E-661F-11E6-B483-D75733D2D062/com_apple_MobileAsset_DictionaryServices_dictionaryOSX/1a184f41ee27bbb203ba596a25c8ea104c13d98f.zip	Sanseido The WISDOM English-Japanese Japanese-English Dictionary.dictionary	ウィズダム英和辞典 / ウィズダム和英辞典
5	52468216	sha1:9688fb99f6c16fce3370c339ac8505bff701b82d	http://appldnld.apple.com/osxassets/058-55450-2016008023-8A4D782E-661F-11E6-B483-D75733D2D062/com_apple_MobileAsset_DictionaryServices_dictionaryOSX/590a824a56387e3f6b335d612c65bb290682e55c.zip	Sanseido Super Daijirin.dictionary	スーパー大辞林
5	49624812	sha1:1bbb01d3b55398428d5b266e2ef2751e0c10eac3	http://appldnld.apple.com/osxassets/058-55450-2016008023-8A4D782E-661F-11E6-B483-D75733D2D062/com_apple_MobileAsset_DictionaryServices_dictionaryOSX/a5b50a4e6301e4fe8ff6dcb4318bcfa58945e9fb.zip	Korean - English.dictionary	뉴에이스 영한사전 / 뉴에이스 한영사전
5	81756578	sha1:4743b12f26d1c86c8b9e3039deb7d31cf59eac60	http://appldnld.apple.com/osxassets/058-55450-2016008023-8A4D782E-661F-11E6-B483-D75733D2D062/com_apple_MobileAsset_DictionaryServices_dictionaryOSX/114c1bf9c7aaf0107a81cf3f476df1ec9d5efcd0.zip	Korean.dictionary	뉴에이스 국어사전
5	11953883	sha1:9be12d70fc7de3380cf16291504fdaf62a7ca5dd	http://appldnld.apple.com/osxassets/058-55450-2016008023-8A4D782E-661F-11E6-B483-D75733D2D062/com_apple_MobileAsset_DictionaryServices_dictionaryOSX/ce4f5bc93b29ba61378101b3b81a65eac4e346d6.zip	Norwegian.dictionary	Norsk Ordbok
5	65886888	sha1:4694c6889207a41ec2d73e92587348b58d4f9263	http://appldnld.apple.com/osxassets/058-55450-2016008023-8A4D782E-661F-11E6-B483-D75733D2D062/com_apple_MobileAsset_DictionaryServices_dictionaryOSX/fcc8673208806f2ffa3be05d1b4d35f7c7461401.zip	New Oxford American Dictionary.dictionary	New Oxford American Dictionary
5	4562069	sha1:1c6897bbf8a638196b00427e4c594823bf390a9c	http://appldnld.apple.com/osxassets/058-55450-2016008023-8A4D782E-661F-11E6-B483-D75733D2D062/com_apple_MobileAsset_DictionaryServices_dictionaryOSX/3300e8c78ceb9a7ceeb617334b1df9018e6b46b8.zip	Oxford American Writer's Thesaurus.dictionary	Oxford American Writer's Thesaurus
5	65768863	sha1:41d74b0724f534d25697bccb772583a496fb0dca	http://appldnld.apple.com/osxassets/058-55450-2016008023-8A4D782E-661F-11E6-B483-D75733D2D062/com_apple_MobileAsset_DictionaryServices_dictionaryOSX/5aa689bfd471f943f70bd220ec2ed3849b7dbec3.zip	Oxford Dictionary of English.dictionary	Oxford Dictionary of English
5	6601972	sha1:b11e99d2e942d9df58d2048af9f2987ec66605f3	http://appldnld.apple.com/osxassets/058-55450-2016008023-8A4D782E-661F-11E6-B483-D75733D2D062/com_apple_MobileAsset_DictionaryServices_dictionaryOSX/377ca105ade0203e0c89af6538f7b8ab0204dfba.zip	Oxford Thesaurus of English.dictionary	Oxford Thesaurus of English
5	26820964	sha1:e44df0e4e92941ef13ac60d44ecce2ddfa5312b2	http://appldnld.apple.com/osxassets/058-55450-2016008023-8A4D782E-661F-11E6-B483-D75733D2D062/com_apple_MobileAsset_DictionaryServices_dictionaryOSX/9b2b70ebb5f2b0337ad83dbdfe5e200580e31769.zip	Portuguese.dictionary	Dicionário de Português licenciado para Oxford University Press
5	12553385	sha1:f28d44f6b52f302dae72c0fa9e11e4f5e9975e6b	http://appldnld.apple.com/osxassets/058-55450-2016008023-8A4D782E-661F-11E6-B483-D75733D2D062/com_apple_MobileAsset_DictionaryServices_dictionaryOSX/9eb1f23c0876381a0f8343ee0c2fa75c31469874.zip	Russian.dictionary	Толковый словарь русского языка
5	31771398	sha1:e05c90585f0f2ccb492b8c95fa2e2e6c8c7a1351	http://appldnld.apple.com/osxassets/058-55450-2016008023-8A4D782E-661F-11E6-B483-D75733D2D062/com_apple_MobileAsset_DictionaryServices_dictionaryOSX/66c5a85f391ba52b28ebd80557e4c594a22e3a66.zip	Simplified Chinese - English.dictionary	牛津英汉汉英词典
5	16281977	sha1:11eb8cb211312d1f24dee59c818986a7f7e05886	http://appldnld.apple.com/osxassets/058-55450-2016008023-8A4D782E-661F-11E6-B483-D75733D2D062/com_apple_MobileAsset_DictionaryServices_dictionaryOSX/70c3b2017113ff7b48de3dc8b4aca7c548dd3c26.zip	The Standard Dictionary of Contemporary Chinese.dictionary	现代汉语规范词典
5	24974537	sha1:52bd9872321804b820f0e94e445c63556eec9402	http://appldnld.apple.com/osxassets/058-55450-2016008023-8A4D782E-661F-11E6-B483-D75733D2D062/com_apple_MobileAsset_DictionaryServices_dictionaryOSX/c2674c4955ec77c6ec38911cfc7627804e516dae.zip	Spanish - English.dictionary	Gran Diccionario Oxford - Español-Inglés • Inglés-Español
5	19276307	sha1:9ae1c7937f162c1a0089c41ab942107b3b640876	http://appldnld.apple.com/osxassets/058-55450-2016008023-8A4D782E-661F-11E6-B483-D75733D2D062/com_apple_MobileAsset_DictionaryServices_dictionaryOSX/7ef7d830d6f4566e12897ea22640df3f3952e254.zip	Spanish.dictionary	Diccionario General de la Lengua Española Vox
5	14613315	sha1:e1a0b123aa4ff92f37081bafa2e649534ec7a414	http://appldnld.apple.com/osxassets/058-55450-2016008023-8A4D782E-661F-11E6-B483-D75733D2D062/com_apple_MobileAsset_DictionaryServices_dictionaryOSX/3a6ba1eaf42a6dbaa79c84918febca3c001fc3e4.zip	Swedish.dictionary	NE Ordbok
5	4781647	sha1:978e8c391bbd5aeef1af9f8d3017af45dfc5a9bc	http://appldnld.apple.com/osxassets/058-55450-2016008023-8A4D782E-661F-11E6-B483-D75733D2D062/com_apple_MobileAsset_DictionaryServices_dictionaryOSX/558f4da14294a6eb6203c03e6bb582f0042eab9e.zip	Thai.dictionary	พจนานุกรมไทย ฉบับทันสมัยและสมบูรณ์
5	23827178	sha1:a29ccbf148890ceb97f85b8b04def16f230fcf0b	http://appldnld.apple.com/osxassets/058-55450-2016008023-8A4D782E-661F-11E6-B483-D75733D2D062/com_apple_MobileAsset_DictionaryServices_dictionaryOSX/94bf67a841921aa7402329595034152040f57bac.zip	Traditional Chinese.dictionary	五南國語活用辭典
5	19112	sha1:bdd0ad7bb68a375ff30f570d2c90f1bea5394fd3	http://appldnld.apple.com/osxassets/058-55450-2016008023-8A4D782E-661F-11E6-B483-D75733D2D062/com_apple_MobileAsset_DictionaryServices_dictionaryOSX/5037b02b1bea75d71df61e986ea78e68ceacb9e2.zip	TTY Abbreviations Dictionary.dictionary	TTY Dictionary
